Well	Number	Plate	OD	Sex	pred_conc	Fly 	DF	A	B	C
G	11	2	0.06	f	6841.72	47	1	NA	NA	NA
G	11	2	0.06	f	6841.72	47	2	41	43	39
G	11	2	0.06	f	6841.72	47	4	24	24	13
G	11	2	0.06	f	6841.72	47	8	11	8	8
G	11	2	0.06	f	6841.72	47	16	3	4	2
G	12	2	0.06	f	6841.72	48	1	NA	NA	NA
G	12	2	0.06	f	6841.72	48	2	NA	NA	NA
G	12	2	0.06	f	6841.72	48	4	29	25	26
G	12	2	0.06	f	6841.72	48	8	21	13	15
G	12	2	0.06	f	6841.72	48	16	10	12	7
B	1	3	0.6	m	68417.18	49	1	NA	NA	NA
B	1	3	0.6	m	68417.18	49	5	49	65	62
B	1	3	0.6	m	68417.18	49	25	13	12	19
B	1	3	0.6	m	68417.18	49	125	2	1	2
B	1	3	0.6	m	68417.18	49	625	3	2	1
B	2	3	0.6	m	68417.18	50	1	NA	NA	NA
B	2	3	0.6	m	68417.18	50	5	92	85	85
B	2	3	0.6	m	68417.18	50	25	25	13	17
B	2	3	0.6	m	68417.18	50	125	2	2	4
B	2	3	0.6	m	68417.18	50	625	1	0	1
B	3	3	0.6	m	68417.18	51	1	NA	NA	NA
B	3	3	0.6	m	68417.18	51	5	31	34	28
B	3	3	0.6	m	68417.18	51	25	3	4	5
B	3	3	0.6	m	68417.18	51	125	0	2	1
B	3	3	0.6	m	68417.18	51	625	0	0	0
B	4	3	0.6	m	68417.18	52	1	NA	NA	NA
B	4	3	0.6	m	68417.18	52	5	NA	NA	NA
B	4	3	0.6	m	68417.18	52	25	26	32	30
B	4	3	0.6	m	68417.18	52	125	3	5	4
B	4	3	0.6	m	68417.18	52	625	2	2	2
B	5	3	0.6	m	68417.18	53	1	NA	NA	NA
B	5	3	0.6	m	68417.18	53	5	NA	NA	NA
B	5	3	0.6	m	68417.18	53	25	30	36	40
B	5	3	0.6	m	68417.18	53	125	8	12	6
B	5	3	0.6	m	68417.18	53	625	1	0	2
B	6	3	0.6	m	68417.18	54	1	NA	NA	NA
B	6	3	0.6	m	68417.18	54	5	NA	NA	NA
B	6	3	0.6	m	68417.18	54	25	23	20	25
B	6	3	0.6	m	68417.18	54	125	6	9	7
B	6	3	0.6	m	68417.18	54	625	0	1	1
B	7	3	0.6	m	68417.18	55	1	NA	NA	NA
B	7	3	0.6	m	68417.18	55	5	NA	NA	NA
B	7	3	0.6	m	68417.18	55	25	24	28	29
B	7	3	0.6	m	68417.18	55	125	6	4	10
B	7	3	0.6	m	68417.18	55	625	1	1	2
B	8	3	0.6	m	68417.18	56	1	NA	NA	NA
B	8	3	0.6	m	68417.18	56	5	NA	NA	NA
B	8	3	0.6	m	68417.18	56	25	24	44	19
B	8	3	0.6	m	68417.18	56	125	4	8	5
B	8	3	0.6	m	68417.18	56	625	0	0	0
B	9	3	0.6	m	68417.18	57	1	NA	NA	NA
B	9	3	0.6	m	68417.18	57	5	NA	NA	NA
B	9	3	0.6	m	68417.18	57	25	29	28	31
B	9	3	0.6	m	68417.18	57	125	5	4	7
B	9	3	0.6	m	68417.18	57	625	2	3	1
B	10	3	0.6	m	68417.18	58	1	NA	NA	NA
B	10	3	0.6	m	68417.18	58	5	NA	NA	NA
B	10	3	0.6	m	68417.18	58	25	41	36	29
B	10	3	0.6	m	68417.18	58	125	6	4	7
B	10	3	0.6	m	68417.18	58	625	3	3	2
B	11	3	0.6	m	68417.18	59	1	NA	NA	NA
B	11	3	0.6	m	68417.18	59	5	NA	NA	NA
B	11	3	0.6	m	68417.18	59	25	24	28	29
